track_id,direction,frame,timestamp
2,IN,42,1.75
3,IN,47,1.9583333333333333
1,IN,49,2.0416666666666665
6,OUT,83,3.4583333333333335
7,OUT,88,3.6666666666666665
9,OUT,98,4.083333333333333
5,OUT,102,4.25
12,OUT,149,6.208333333333333
10,OUT,154,6.416666666666667
13,IN,249,10.375
14,OUT,279,11.625
15,OUT,308,12.833333333333334
